City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
tessalit,20.2,1.01,90.99,29,15,4.05,ML
jasmine estates,28.29,-82.69,87.01,78,89,0.89,US
rikitea,-23.12,-134.97,68.38,73,38,7.24,PF
punta arenas,-53.15,-70.92,35.6,69,75,3.6,CL
albany,42.6,-73.97,96.01,41,63,4.06,US
plzen,49.75,13.38,63.0,93,58,1.0,CZ
faanui,-16.48,-151.75,77.23,82,51,9.23,PF
sioux lookout,50.1,-91.92,53.6,100,90,8.2,CA
ciudad bolivar,8.12,-63.55,88.45,61,80,1.53,VE
mar del plata,-38.0,-57.56,51.8,100,90,6.2,AR
grindavik,63.84,-22.43,50.0,76,75,3.6,IS
vaini,-21.2,-175.2,68.0,94,90,3.1,TO
chernyshevskiy,63.01,112.47,53.01,80,100,0.97,RU
puerto ayora,-0.74,-90.35,75.2,73,75,6.2,EC
bambous virieux,-20.34,57.76,68.0,82,40,5.7,MU
mahebourg,-20.41,57.7,68.0,82,40,5.7,MU
busselton,-33.65,115.33,46.0,75,62,3.63,AU
miles city,46.41,-105.84,84.2,21,1,5.7,US
jamestown,42.1,-79.24,75.99,100,20,4.1,US
butaritari,3.07,172.79,83.44,75,99,7.76,KI
pevek,69.7,170.31,46.69,57,0,1.75,RU
unity,52.45,-109.17,72.0,64,90,1.34,CA
hermanus,-34.42,19.23,51.01,95,1,3.63,ZA
saskylakh,71.92,114.08,52.81,76,63,4.76,RU
stykkisholmur,65.08,-22.73,48.36,76,79,1.88,IS
yellowknife,62.46,-114.35,69.01,68,75,5.7,CA
hobart,-42.88,147.33,46.4,70,40,5.1,AU
mataura,-46.19,168.86,39.0,83,100,1.34,NZ
kavaratti,10.57,72.64,81.52,80,100,6.3,IN
uberaba,-19.75,-47.93,75.2,29,0,3.6,BR
hithadhoo,-0.6,73.08,83.01,78,100,7.4,MV
ushuaia,-54.8,-68.3,32.0,93,40,2.6,AR
yining,29.04,114.56,71.87,94,100,0.94,CN
sola,-13.88,167.55,77.32,84,99,7.73,VU
hilo,19.73,-155.09,84.2,62,1,3.1,US
wanning,18.8,110.4,81.18,85,100,4.57,CN
poum,-20.23,164.02,70.77,69,41,5.47,NC
nanortalik,60.14,-45.24,50.54,75,4,3.04,GL
kattivakkam,13.22,80.32,80.6,88,40,1.5,IN
tocopilla,-22.09,-70.2,63.68,52,99,2.82,CL
rjukan,59.88,8.59,54.0,89,43,6.26,NO
deputatskiy,69.3,139.9,56.3,72,100,0.68,RU
jacareacanga,-6.22,-57.75,89.64,45,14,0.95,BR
kanniyakumari,8.08,77.57,79.79,84,44,6.76,IN
bluff,-46.6,168.33,39.0,83,89,1.34,NZ
qaanaaq,77.48,-69.36,48.02,67,99,0.91,GL
port alfred,-33.59,26.89,60.57,81,0,4.65,ZA
eyl,7.98,49.82,80.49,60,86,9.4,SO
locri,38.24,16.26,71.6,94,40,0.5,IT
srednekolymsk,67.45,153.68,71.26,47,0,5.38,RU
lorengau,-2.02,147.27,81.61,74,60,3.5,PG
saint-philippe,-21.36,55.77,68.0,77,75,6.2,RE
clarksville,36.53,-87.36,91.99,55,20,5.1,US
buraydah,26.33,43.98,96.8,20,6,4.25,SA
airai,-8.93,125.41,53.67,61,32,1.23,TL
kafue,-15.77,28.18,50.0,87,0,1.0,ZM
nara,34.69,135.8,78.8,83,75,0.5,JP
hovd,48.01,91.64,63.12,65,31,0.04,MN
upernavik,72.79,-56.15,49.82,54,83,2.44,GL
