City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
talnakh,69.49,88.4,46.4,93,75,6,RU,1595022317
albany,42.6,-73.97,84.0,67,57,0.89,US,1595022317
chicama,-7.84,-79.15,68.7,64,12,3.64,PE,1595022317
new norfolk,-42.78,147.06,37.0,85,100,1.28,AU,1595022317
morant bay,17.88,-76.41,86.0,70,40,10.8,JM,1595022241
kapaa,22.08,-159.32,84.2,79,1,4.1,US,1595022686
illoqqortoormiut,22.08,-159.32,84.2,79,1,4.1,US,1595022686
yellowknife,62.46,-114.35,70.0,49,75,4.6,CA,1595022190
tall kayf,37.08,41.07,82.4,20,0,2.1,TR,1595022687
atuona,-9.8,-139.03,79.21,78,22,7.39,PF,1595022687
taolanaro,-9.8,-139.03,79.21,78,22,7.39,PF,1595022687
cape town,-33.93,18.42,66.0,44,0,5.1,ZA,1595022687
tuatapere,-46.13,167.68,38.57,82,48,0.94,NZ,1595022687
chuy,-33.7,-53.46,57.2,95,98,4.94,UY,1595022687
banda aceh,5.56,95.32,78.55,83,100,4.3,ID,1595022688
ourinhos,-22.98,-49.87,67.95,77,6,2.2,BR,1595022688
udachnyy,66.42,112.4,53.6,81,90,1,RU,1595022688
moose factory,51.26,-80.61,78.8,44,20,7.7,CA,1595022688
bethel,41.37,-73.41,82.0,69,40,2.1,US,1595022638
araouane,18.9,-3.53,100.76,20,37,0.28,ML,1595022688
mar del plata,-38,-57.56,51.01,93,100,5.1,AR,1595022585
rikitea,-23.12,-134.97,73.29,82,100,6.61,PF,1595022689
namibe,-15.2,12.15,68.67,55,0,1.62,AO,1595022689
luan,46.36,6.98,68.0,60,75,2.6,CH,1595022689
constitucion,-35.33,-72.42,55.6,91,93,9.29,CL,1595022689
jamestown,42.1,-79.24,79.0,57,20,5.1,US,1595022689
puerto ayora,-0.74,-90.35,78.8,61,52,1.5,EC,1595022689
adrar,20.5,-10.07,97.43,21,0,3.16,MR,1595022689
shenzhen,22.55,114.07,86.0,83,40,4,CN,1595022455
vila velha,-20.33,-40.29,73.4,64,40,2.1,BR,1595022689
kavieng,-2.57,150.8,83.5,75,98,4.56,PG,1595022689
cherskiy,68.75,161.3,52.02,67,68,4.49,RU,1595022690
cidreira,-30.18,-50.21,60.42,88,85,5.04,BR,1595022690
mataura,-46.19,168.86,33.98,88,0,0.69,NZ,1595022690
gudari,19.35,83.78,78.12,88,100,0.14,IN,1595022690
hilo,19.73,-155.09,82.4,69,90,5.1,US,1595022690
kodiak,57.79,-152.41,60.8,77,90,3.1,US,1595022690
andenes,69.31,16.12,55.4,87,100,8.2,NO,1595022690
hobart,-42.88,147.33,39.2,80,75,3.6,AU,1595022435
ahipara,-35.17,173.17,60.76,89,99,3.64,NZ,1595022691
bluff,-46.6,168.33,36.86,85,13,2.71,NZ,1595022691
thompson,55.74,-97.86,71.6,49,75,2.1,CA,1595022691
dapdap,12.06,125.49,82.04,77,100,2.85,PH,1595022691
saint-pierre,-21.34,55.48,66.2,77,90,3.6,RE,1595022692
pevek,69.7,170.31,44.44,85,30,1.65,RU,1595022692
ushuaia,-54.8,-68.3,28.4,92,61,1.5,AR,1595022497
avarua,-21.21,-159.78,73.4,60,14,2.1,CK,1595022692
vaini,-21.2,-175.2,77.0,88,75,5.1,TO,1595022692
yumen,40.28,97.2,62.13,54,0,3.42,CN,1595022692
clyde river,70.47,-68.59,44.6,81,75,8.7,CA,1595022692
nautla,20.22,-96.78,88.23,60,49,7.07,MX,1595022693
cabo san lucas,22.89,-109.91,88.0,51,5,6.2,MX,1595022644
brae,60.4,-1.35,53.6,93,75,4.6,GB,1595022693
ilulissat,69.22,-51.1,53.6,46,0,2.1,GL,1595022693
ulagan,50.63,87.96,52.14,81,1,0.51,RU,1595022693
noumea,-22.28,166.46,69.01,82,20,1,NC,1595022418
port lincoln,-34.73,135.87,57.88,47,100,8.75,AU,1595022693
souillac,-20.52,57.52,69.8,73,40,6.2,MU,1595022625
bull savanna,17.89,-77.59,82.87,70,18,5.17,JM,1595022693
maniitsoq,65.42,-52.9,53.78,67,0,2.95,GL,1595022694
busselton,-33.65,115.33,46.0,83,97,3.7,AU,1595022694
tabiauea,-33.65,115.33,46.0,83,97,3.7,AU,1595022694
san patricio,19.22,-104.7,89.6,66,40,5.1,MX,1595022694
east london,-33.02,27.91,62.58,29,0,3.03,ZA,1595022694
freeport,40.66,-73.58,84.0,74,40,3.6,US,1595022505
norman wells,65.28,-126.83,73.4,40,20,2.1,CA,1595022694
katsuura,35.13,140.3,69.8,100,90,1,JP,1595022694
poya,-21.35,165.15,69.44,55,1,0.75,NC,1595022694
meulaboh,4.14,96.13,74.88,91,84,2.02,ID,1595022695
bathsheba,13.22,-59.52,84.2,70,40,5.1,BB,1595022695
sarangani,5.4,125.46,83.14,70,19,1.89,PH,1595022695
santa rosa,14.31,121.11,80.6,78,98,2.37,PH,1595022590
punta arenas,-53.15,-70.92,32.0,95,75,4.6,CL,1595022604
ponta do sol,32.67,-17.1,71.6,83,20,1.5,PT,1595022695
tuktoyaktuk,69.45,-133.04,50.0,71,75,4.6,CA,1595022696
georgetown,5.41,100.34,78.8,94,40,2.74,MY,1595022696
hasaki,35.73,140.83,66.2,100,75,2.1,JP,1595022696
turukhansk,65.82,87.98,46.76,90,37,2.96,RU,1595022696
erenhot,43.65,111.98,67.14,59,86,4.66,CN,1595022696
poum,-20.23,164.02,70.14,57,0,4.1,NC,1595022697
provideniya,64.38,-173.3,52.43,86,96,1.56,RU,1595022697
sitka,57.05,-135.33,57.2,82,40,5.7,US,1595022682
zhangjiakou,40.81,114.88,62.51,82,98,1.09,CN,1595022697
teseney,15.11,36.66,82.8,55,94,6.26,ER,1595022697
kyra,49.58,111.98,50.18,73,100,2.45,RU,1595022697
barrow,71.29,-156.79,37.4,74,90,7.2,US,1595022698
bredasdorp,-34.53,20.04,44.6,81,0,1,ZA,1595022698
nikolskoye,59.7,30.79,57.2,76,18,2,RU,1595022698
moron,-34.65,-58.62,57.99,84,90,2.68,AR,1595022458
sogdiondon,-34.65,-58.62,57.99,84,90,2.68,AR,1595022458
bambous virieux,-20.34,57.76,69.8,73,40,6.2,MU,1595022698
longyearbyen,78.22,15.64,46.4,81,20,7.7,SJ,1595022698
rawson,-43.3,-65.1,53.92,62,100,11.02,AR,1595022698
haines junction,60.75,-137.51,64.02,41,87,4.3,CA,1595022698
ostrovnoy,68.05,39.51,49.84,64,2,1.56,RU,1595022699
tumannyy,68.05,39.51,49.84,64,2,1.56,RU,1595022699
barentsburg,68.05,39.51,49.84,64,2,1.56,RU,1595022699
kauhajoki,62.43,22.18,64.99,68,84,2.6,FI,1595022699
kibaya,-5.3,36.57,52.56,66,11,4.33,TZ,1595022699
sistranda,63.73,8.83,55.4,87,75,3.1,NO,1595022699
ewa beach,21.32,-158.01,86.0,70,75,4.6,US,1595022439
